logname,initAI,shoot,TRUE,delete,get,Horse,Shield,Remake,LevelTime,,
2022-02-16-02-43-56.log,119,330,9,102,1,0,1,0,195,1.692307692,0.046153846
2022-02-16-03-08-00.log,86,249,8,70,3,1,2,0,136,1.830882353,0.058823529
2022-02-16-02-59-08.log,98,196,1,89,0,0,0,0,125,1.568,0.008
2022-02-16-03-18-33.log,73,168,4,61,2,1,1,0,107,1.570093458,0.037383178
2022-02-16-03-23-17.log,71,194,4,60,0,0,0,0,102,1.901960784,0.039215686
2022-02-16-03-13-50.log,64,173,4,53,0,0,0,0,91,1.901098901,0.043956044
2022-02-16-03-06-29.log,53,130,2,43,1,0,1,0,90,1.444444444,0.022222222
2022-02-16-02-49-14.log,57,157,6,43,1,0,1,0,82,1.914634146,0.073170732
2022-02-16-02-50-39.log,47,155,3,36,0,0,0,0,78,1.987179487,0.038461538
2022-02-16-03-04-08.log,60,149,5,47,1,0,1,0,74,2.013513514,0.067567568
2022-02-16-02-52-49.log,46,196,7,31,0,0,0,0,72,2.722222222,0.097222222
2022-02-16-03-10-23.log,54,139,5,42,4,2,2,0,72,1.930555556,0.069444444
2022-02-16-03-16-17.log,60,139,4,48,1,1,0,0,71,1.957746479,0.056338028
2022-02-16-02-55-06.log,58,107,3,47,0,0,0,0,69,1.550724638,0.043478261
2022-02-16-03-25-52.log,59,167,7,46,1,1,0,0,69,2.420289855,0.101449275
2022-02-16-02-57-24.log,60,155,6,46,2,1,1,0,68,2.279411765,0.088235294
2022-02-16-02-47-58.log,47,131,4,35,1,1,0,0,67,1.955223881,0.059701493
2022-02-16-03-01-23.log,53,118,2,43,1,1,0,0,66,1.787878788,0.03030303
2022-02-16-03-11-49.log,53,126,2,43,2,0,2,0,64,1.96875,0.03125
2022-02-16-03-05-24.log,53,113,4,42,0,0,0,0,62,1.822580645,0.064516129
2022-02-16-03-02-34.log,46,128,4,35,2,2,0,0,57,2.245614035,0.070175439
2022-02-16-03-17-33.log,49,111,4,38,1,1,0,0,57,1.947368421,0.070175439
2022-02-16-02-56-19.log,41,103,4,29,2,2,0,0,51,2.019607843,0.078431373
2022-02-16-02-51-59.log,29,83,3,19,1,1,0,0,48,1.729166667,0.0625
2022-02-16-03-13-01.log,41,113,4,29,1,1,0,0,47,2.404255319,0.085106383
2022-02-16-03-25-02.log,39,87,2,29,0,0,0,0,47,1.85106383,0.042553191
2022-02-16-02-47-14.log,26,74,3,15,0,0,0,0,42,1.761904762,0.071428571
2022-02-16-03-15-29.log,35,98,3,24,1,1,0,0,42,2.333333333,0.071428571
2022-02-16-02-54-07.log,20,106,3,9,1,1,0,0,36,2.944444444,0.083333333
2022-02-16-03-03-33.log,29,56,1,20,0,0,0,0,33,1.696969697,0.03030303
2022-02-16-02-58-35.log,25,64,1,16,0,0,0,0,30,2.133333333,0.033333333
2022-02-16-02-54-45.log,20,36,1,11,0,0,0,0,17,2.117647059,0.058823529
